name,owner,url,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
vnpy,vnpy,https://github.com/vnpy/vnpy,2015-03-02T03:36:58Z,2026-03-06T01:27:18Z,Python,1063,66,2163,2151
oh-my-opencode,code-yeongyu,https://github.com/code-yeongyu/oh-my-opencode,2025-12-03T01:40:05Z,2026-03-06T01:52:17Z,TypeScript,634,147,1185,964
engineering-blogs,kilimchoi,https://github.com/kilimchoi/engineering-blogs,2015-06-13T18:25:17Z,2026-03-06T00:23:20Z,Ruby,681,0,97,75
llvm-project,llvm,https://github.com/llvm/llvm-project,2016-12-07T09:39:33Z,2026-03-06T01:47:06Z,LLVM,75410,149,92573,64499
spacedrive,spacedriveapp,https://github.com/spacedriveapp/spacedrive,2021-09-27T05:09:04Z,2026-03-06T01:15:54Z,Rust,1957,28,530,518
deeplearningbook-chinese,exacity,https://github.com/exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,2026-03-05T13:28:15Z,TeX,16,7,203,139
interview_internal_reference,0voice,https://github.com/0voice/interview_internal_reference,2019-06-10T06:54:19Z,2026-03-06T01:45:11Z,Python,35,0,52,19
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,2022-02-12T21:56:52Z,2026-03-06T01:36:12Z,Python,2997,143,2366,2366
compose,docker,https://github.com/docker/compose,2013-12-09T11:40:58Z,2026-03-06T01:48:56Z,Go,3753,275,8279,8234
arthas,alibaba,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,2026-03-05T10:09:31Z,Java,582,68,2130,1754
gym,openai,https://github.com/openai/gym,2016-04-27T14:59:16Z,2026-03-05T17:36:43Z,Python,999,19,1840,1727
manim,ManimCommunity,https://github.com/ManimCommunity/manim,2020-05-19T02:37:13Z,2026-03-06T01:23:10Z,Python,2041,33,1738,1363
RevokeMsgPatcher,huiyadanli,https://github.com/huiyadanli/RevokeMsgPatcher,2019-07-21T15:12:52Z,2026-03-05T22:52:37Z,C#,12,21,993,945
wtfpython,satwikkansal,https://github.com/satwikkansal/wtfpython,2017-08-28T20:22:19Z,2026-03-05T08:53:12Z,Python,113,2,224,158
JavaFamily,AobingJava,https://github.com/AobingJava/JavaFamily,2019-11-12T04:26:18Z,2026-03-05T16:04:33Z,None,2,0,66,60
MockingBird,babysor,https://github.com/babysor/MockingBird,2021-08-07T03:53:39Z,2026-03-05T17:36:21Z,Python,82,1,892,415
docs,inkonchain,https://github.com/inkonchain/docs,2024-05-07T16:49:36Z,2026-03-05T13:37:18Z,MDX,407,0,37,13
drawdb,drawdb-io,https://github.com/drawdb-io/drawdb,2023-07-16T17:09:20Z,2026-03-06T00:08:40Z,JavaScript,349,0,337,214
stats,exelban,https://github.com/exelban/stats,2019-05-29T19:24:56Z,2026-03-06T01:04:58Z,Swift,433,321,2454,2432
REKCARC-TSC-UHT,PKUanonym,https://github.com/PKUanonym/REKCARC-TSC-UHT,2019-04-05T03:31:23Z,2026-03-06T01:53:01Z,HTML,175,0,34,32
node,inkonchain,https://github.com/inkonchain/node,2024-05-13T23:20:40Z,2026-03-05T13:37:22Z,Shell,36,6,26,13
sqlmap,sqlmapproject,https://github.com/sqlmapproject/sqlmap,2012-06-26T09:52:15Z,2026-03-06T01:44:43Z,Python,180,11,5394,5354
portainer,portainer,https://github.com/portainer/portainer,2016-05-19T20:15:28Z,2026-03-05T16:17:39Z,TypeScript,4784,176,6030,5342
ink-kit,inkonchain,https://github.com/inkonchain/ink-kit,2024-11-04T16:32:17Z,2026-03-05T13:37:20Z,TypeScript,91,0,5,3
shadowsocks-android,shadowsocks,https://github.com/shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,2026-03-05T22:52:30Z,Kotlin,258,186,2513,2459
supervision,roboflow,https://github.com/roboflow/supervision,2022-11-28T14:08:44Z,2026-03-05T23:34:53Z,Python,1120,35,517,431
marked,markedjs,https://github.com/markedjs/marked,2011-07-24T13:15:51Z,2026-03-05T21:31:59Z,TypeScript,1642,166,1652,1643
