name,owner,url,stargazers,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
XX-Net,XX-net,https://github.com/XX-net/XX-Net,33450,2015-01-15T09:35:51Z,2026-03-05T22:34:27Z,Python,363,390,13340,5418
libpku,lib-pku,https://github.com/lib-pku/libpku,33356,2018-11-22T13:33:06Z,2026-03-05T15:54:40Z,TeX,22,0,43,32
v2ray-core,v2fly,https://github.com/v2fly/v2ray-core,33338,2019-04-15T10:05:54Z,2026-03-06T01:43:39Z,Go,978,121,1078,1054
CasaOS,IceWhaleTech,https://github.com/IceWhaleTech/CasaOS,33333,2021-09-26T02:33:09Z,2026-03-06T01:54:17Z,Go,275,97,1676,897
spaCy,explosion,https://github.com/explosion/spaCy,33282,2014-07-03T15:15:40Z,2026-03-05T18:18:35Z,Python,3598,133,5742,5585
swc,swc-project,https://github.com/swc-project/swc,33277,2017-12-22T11:40:14Z,2026-03-05T22:58:12Z,Rust,5893,780,4111,3736
awesome-awesomeness,bayandin,https://github.com/bayandin/awesome-awesomeness,33269,2014-07-08T05:44:19Z,2026-03-05T23:04:23Z,Ruby,197,0,70,52
etcher,balena-io,https://github.com/balena-io/etcher,33230,2015-10-27T16:53:23Z,2026-03-06T00:42:02Z,TypeScript,1731,289,2461,1850
learnGitBranching,pcottle,https://github.com/pcottle/learnGitBranching,33194,2012-08-13T22:36:09Z,2026-03-06T00:36:50Z,JavaScript,650,0,531,478
keycloak,keycloak,https://github.com/keycloak/keycloak,33159,2013-07-02T13:38:51Z,2026-03-06T01:53:57Z,Java,19240,102,17589,15322
khoj,khoj-ai,https://github.com/khoj-ai/khoj,33158,2021-08-16T01:48:44Z,2026-03-06T02:08:49Z,Python,486,170,568,487
ijkplayer,bilibili,https://github.com/bilibili/ijkplayer,33127,2013-06-03T04:12:04Z,2026-03-05T12:23:05Z,C,35,0,5384,2547
drizzle-orm,drizzle-team,https://github.com/drizzle-team/drizzle-orm,33123,2021-06-24T09:03:05Z,2026-03-05T22:10:38Z,TypeScript,660,170,3466,2240
UTM,utmapp,https://github.com/utmapp/UTM,33115,2019-04-12T16:09:24Z,2026-03-06T02:09:44Z,Swift,277,128,3585,2610
awesome-sysadmin,awesome-foss,https://github.com/awesome-foss/awesome-sysadmin,33114,2014-12-23T08:41:22Z,2026-03-06T00:53:59Z,None,342,0,105,90
brackets,adobe,https://github.com/adobe/brackets,33105,2011-12-07T21:14:40Z,2026-03-05T08:17:47Z,JavaScript,4332,69,9683,7066
immutable-js,immutable-js,https://github.com/immutable-js/immutable-js,33098,2014-07-02T06:02:29Z,2026-03-05T23:05:21Z,TypeScript,621,92,1267,1171
chatbot-ui,mckaywrigley,https://github.com/mckaywrigley/chatbot-ui,33073,2023-03-11T14:53:14Z,2026-03-06T01:38:25Z,TypeScript,281,0,1001,817
claude-mem,thedotmack,https://github.com/thedotmack/claude-mem,33061,2025-08-31T20:50:03Z,2026-03-06T02:11:29Z,TypeScript,211,209,665,623
gulp,gulpjs,https://github.com/gulpjs/gulp,33008,2013-07-04T05:26:06Z,2026-03-05T12:37:01Z,JavaScript,412,24,1937,1907
tabby,TabbyML,https://github.com/TabbyML/tabby,32983,2023-03-16T09:18:01Z,2026-03-06T00:46:09Z,Rust,3001,249,991,753
k9s,derailed,https://github.com/derailed/k9s,32976,2019-01-25T18:46:02Z,2026-03-06T00:49:43Z,Go,963,257,2284,2087
wails,wailsapp,https://github.com/wailsapp/wails,32966,2018-12-15T23:14:06Z,2026-03-06T02:05:53Z,Go,1690,292,2321,2092
serenity,SerenityOS,https://github.com/SerenityOS/serenity,32965,2018-12-02T19:28:41Z,2026-03-06T00:28:53Z,C++,19924,0,4293,3572
diffusers,huggingface,https://github.com/huggingface/diffusers,32934,2022-05-30T16:04:02Z,2026-03-05T18:23:47Z,Python,5519,89,5235,4632
AdGuardHome,AdguardTeam,https://github.com/AdguardTeam/AdGuardHome,32918,2016-07-06T10:31:47Z,2026-03-06T01:25:24Z,Go,125,229,5920,4698
sniffnet,GyulyVGC,https://github.com/GyulyVGC/sniffnet,32916,2022-07-31T21:55:56Z,2026-03-06T01:22:44Z,Rust,480,16,314,267
ShadowsocksX-NG,shadowsocks,https://github.com/shadowsocks/ShadowsocksX-NG,32905,2016-06-10T11:49:00Z,2026-03-05T13:55:47Z,Swift,64,30,1360,1051
trivy,aquasecurity,https://github.com/aquasecurity/trivy,32895,2019-04-11T01:01:07Z,2026-03-06T02:04:56Z,Go,3497,85,3032,2867
certbot,certbot,https://github.com/certbot/certbot,32885,2014-11-12T02:52:20Z,2026-03-06T01:55:32Z,Python,4078,68,5522,5390
OCRmyPDF,ocrmypdf,https://github.com/ocrmypdf/OCRmyPDF,32842,2013-12-20T08:26:28Z,2026-03-06T01:33:13Z,Python,169,52,1322,1185
firecracker,firecracker-microvm,https://github.com/firecracker-microvm/firecracker,32836,2017-10-19T06:18:47Z,2026-03-06T01:34:39Z,Rust,3427,84,1485,1435
stb,nothings,https://github.com/nothings/stb,32827,2014-05-25T16:51:23Z,2026-03-06T01:37:48Z,C,291,0,936,716
fish-shell,fish-shell,https://github.com/fish-shell/fish-shell,32818,2012-05-10T03:00:55Z,2026-03-06T00:38:22Z,Rust,2192,62,8014,7522
modern-unix,ibraheemdev,https://github.com/ibraheemdev/modern-unix,32807,2021-01-12T00:50:14Z,2026-03-05T21:34:46Z,None,15,0,84,30
go-zero,zeromicro,https://github.com/zeromicro/go-zero,32759,2020-08-07T15:37:57Z,2026-03-05T22:52:51Z,Go,2435,149,1956,1787
backstage,backstage,https://github.com/backstage/backstage,32744,2020-01-24T22:39:49Z,2026-03-06T01:15:03Z,TypeScript,20357,496,7478,7178
CLIP,openai,https://github.com/openai/CLIP,32710,2020-12-16T11:24:42Z,2026-03-06T02:08:41Z,Jupyter Notebook,29,0,442,192
FlClash,chen08209,https://github.com/chen08209/FlClash,32708,2023-08-15T07:47:22Z,2026-03-06T02:06:58Z,Dart,2,102,1611,1001
comprehensive-rust,google,https://github.com/google/comprehensive-rust,32693,2022-12-21T15:17:24Z,2026-03-05T23:10:08Z,Rust,2402,0,362,242
nacos,alibaba,https://github.com/alibaba/nacos,32690,2018-06-15T06:49:27Z,2026-03-06T02:09:00Z,Java,3335,88,9489,9280
paper-reading,mli,https://github.com/mli/paper-reading,32636,2021-10-22T06:34:51Z,2026-03-06T00:11:14Z,None,15,0,0,0
YesPlayMusic,qier222,https://github.com/qier222/YesPlayMusic,32626,2020-10-09T10:04:21Z,2026-03-05T21:34:03Z,Vue,292,32,1834,1200
prompt-eng-interactive-tutorial,anthropics,https://github.com/anthropics/prompt-eng-interactive-tutorial,32610,2024-04-02T15:52:00Z,2026-03-06T02:09:51Z,Jupyter Notebook,1,0,35,4
WxJava,binarywang,https://github.com/binarywang/WxJava,32600,2016-01-06T08:24:05Z,2026-03-05T16:31:17Z,Java,1182,31,2455,2448
MonitorControl,MonitorControl,https://github.com/MonitorControl/MonitorControl,32585,2017-09-16T21:13:40Z,2026-03-06T02:03:22Z,Swift,220,26,1010,994
